County,Precinct Short Name,Delegates to County Convention,State Delegate Equivalents
Lee,FM4B,0,0
Lee,KE2B,0,0
Lee,HR,0,0
Appanoose,CW,2,0.16
Black Hawk,S000,2,0.404
Carroll,7,2,0.22
Carroll,12,2,0.22
Cedar,IN,2,0.34285714285714286
Cerro Gordo,FLN,2,0.35428571428571426
Cerro Gordo,LK,2,0.35428571428571426
Cerro Gordo,LCN,2,0.35428571428571426
Cerro Gordo,MSB,2,0.35428571428571426
Cerro Gordo,MV,2,0.35428571428571426
Clay,GFHD,2,0.18823529411764706
Clay,LGGG,2,0.18823529411764706
Clinton,DCGL,2,0.44285714285714284
Clinton,OGCA,2,0.44285714285714284
Dallas,ADS,2,0.8285714285714286
Dallas,COA,2,0.8285714285714286
Dallas,WM322,2,0.8285714285714286
Dickinson,PCT 04,2,0.25
Dickinson,PCT 06,2,0.25
Fremont,RT,2,0.15
"Guthrie ",8,2,0.17142857142857143
Harrison,LS,2,0.18666666666666668
Howard,CR1A,2,0.2857142857142857
Howard,RJO,2,0.2857142857142857
Humboldt,H-WV,2,0.17777777777777778
Humboldt,NL-EV,2,0.17777777777777778
Jackson,10,2,0.34285714285714286
Jackson,11,2,0.34285714285714286
Jefferson,BU,2,0.43636363636363634
Jefferson,WLR,2,0.43636363636363634
Johnson,HS,2,0.81
Johnson,LB,2,0.81
Johnson,UN,2,0.81
Kossuth,LV,2,0.17777777777777778
Kossuth,CR 2,2,0.17777777777777778
Linn,HIA03,2,0.8790697674418605
Linn,TCLI,2,0.8790697674418605
Linn,TFAY,2,0.8790697674418605
Linn,TGRA,2,0.8790697674418605
Linn,TJAC,2,0.8790697674418605
Linn,TMAR,2,0.8790697674418605
Linn,TOTT,2,0.8790697674418605
Mills,EM,2,0.3111111111111111
Mitchell,12,2,0.15
O'Brien,P1,2,0.14545454545454545
Plymouth,BV,2,0.45
Polk,DM 048,2,0.5596002855103498
Polk,DM 067,2,0.5596002855103498
Polk,ALLEMAN,2,0.5596002855103498
Polk,DEL 2,2,0.5596002855103498
Polk,WB 1,2,0.5596002855103498
Poweshiek,3,2,0.28
Sac,2,2,0.13333333333333333
Scott,LCT,2,0.8266666666666667
Scott,LG,2,0.8266666666666667
Scott,PV,2,0.8266666666666667
Scott,PR,2,0.8266666666666667
Sioux,PL,2,0.175
Sioux,RD,2,0.175
Story,26,2,0.83
Story,35,2,0.83
Story,41,2,0.83
Story,43,2,0.83
Tama,YK,2,0.25882352941176473
Union,AR,2,0.15
Woodbury,32,2,0.425
Woodbury,34,2,0.425
Woodbury,36,2,0.425
Woodbury,38,2,0.425
Wright,EG1,2,0.26666666666666666
Wright,RURALEG,2,0.26666666666666666
Wright,GLDFLD,2,0.26666666666666666
Allamakee,PCT 3,3,0.23333333333333334
Black Hawk,J200,3,0.6060000000000001
Black Hawk,PH01,3,0.6060000000000001
Black Hawk,R000,3,0.6060000000000001
Boone,MD3,3,0.5700000000000001
Boone,RP3,3,0.5700000000000001
Boone,RP5,3,0.5700000000000001
Bremer,PL,3,0.6799999999999999
Buchanan,MN,3,0.41052631578947374
Calhoun,READING,3,0.25
Calhoun,SHERMAN,3,0.25
Carroll,10,3,0.33
Cedar,FR,3,0.5142857142857142
Cerro Gordo,POD,3,0.5314285714285714
Chickasaw,WA1,3,0.21000000000000002
Clay,DGPE,3,0.2823529411764706
