County,precinct,candidate,round,result
Adair,4SE ORIENT,Bennet,first,0.0
Adair,4SE ORIENT,Bennet,final,0.0
Adair,4SE ORIENT,Bennet,SDE,0.0
Adair,4SE ORIENT,Biden,first,7.0
Adair,4SE ORIENT,Biden,final,7.0
Adair,4SE ORIENT,Biden,SDE,0.1569
Adair,4SE ORIENT,Bloomberg,first,0.0
Adair,4SE ORIENT,Bloomberg,final,0.0
Adair,4SE ORIENT,Bloomberg,SDE,0.0
Adair,4SE ORIENT,Buttigieg,first,6.0
Adair,4SE ORIENT,Buttigieg,final,6.0
Adair,4SE ORIENT,Buttigieg,SDE,0.1569
Adair,4SE ORIENT,Delaney,first,0.0
Adair,4SE ORIENT,Delaney,final,0.0
Adair,4SE ORIENT,Delaney,SDE,0.0
Adair,4SE ORIENT,Gabbard,first,0.0
Adair,4SE ORIENT,Gabbard,final,0.0
Adair,4SE ORIENT,Gabbard,SDE,0.0
Adair,4SE ORIENT,Klobuchar,first,6.0
Adair,4SE ORIENT,Klobuchar,final,6.0
Adair,4SE ORIENT,Klobuchar,SDE,0.1569
Adair,4SE ORIENT,Patrick,first,0.0
Adair,4SE ORIENT,Patrick,final,0.0
Adair,4SE ORIENT,Patrick,SDE,0.0
Adair,4SE ORIENT,Sanders,first,6.0
Adair,4SE ORIENT,Sanders,final,6.0
Adair,4SE ORIENT,Sanders,SDE,0.0784
Adair,4SE ORIENT,Steyer,first,0.0
Adair,4SE ORIENT,Steyer,final,0.0
Adair,4SE ORIENT,Steyer,SDE,0.0
Adair,4SE ORIENT,Warren,first,9.0
Adair,4SE ORIENT,Warren,final,9.0
Adair,4SE ORIENT,Warren,SDE,0.2353
Adair,4SE ORIENT,Yang,first,0.0
Adair,4SE ORIENT,Yang,final,0.0
Adair,4SE ORIENT,Yang,SDE,0.0
Adair,4SE ORIENT,Other,first,0.0
Adair,4SE ORIENT,Other,final,0.0
Adair,4SE ORIENT,Other,SDE,0.0
Adair,4SE ORIENT,Uncommitted,first,0.0
Adair,4SE ORIENT,Uncommitted,final,0.0
Adair,4SE ORIENT,Uncommitted,SDE,0.0
Adair,1NW ADAIR,Bennet,first,0.0
Adair,1NW ADAIR,Bennet,final,0.0
Adair,1NW ADAIR,Bennet,SDE,0.0
Adair,1NW ADAIR,Biden,first,6.0
Adair,1NW ADAIR,Biden,final,6.0
Adair,1NW ADAIR,Biden,SDE,0.0784
Adair,1NW ADAIR,Bloomberg,first,0.0
Adair,1NW ADAIR,Bloomberg,final,0.0
Adair,1NW ADAIR,Bloomberg,SDE,0.0
Adair,1NW ADAIR,Buttigieg,first,8.0
Adair,1NW ADAIR,Buttigieg,final,8.0
Adair,1NW ADAIR,Buttigieg,SDE,0.0784
Adair,1NW ADAIR,Delaney,first,0.0
Adair,1NW ADAIR,Delaney,final,0.0
Adair,1NW ADAIR,Delaney,SDE,0.0
Adair,1NW ADAIR,Gabbard,first,0.0
Adair,1NW ADAIR,Gabbard,final,0.0
Adair,1NW ADAIR,Gabbard,SDE,0.0
Adair,1NW ADAIR,Klobuchar,first,8.0
Adair,1NW ADAIR,Klobuchar,final,8.0
Adair,1NW ADAIR,Klobuchar,SDE,0.1569
Adair,1NW ADAIR,Patrick,first,0.0
Adair,1NW ADAIR,Patrick,final,0.0
Adair,1NW ADAIR,Patrick,SDE,0.0
Adair,1NW ADAIR,Sanders,first,9.0
Adair,1NW ADAIR,Sanders,final,9.0
Adair,1NW ADAIR,Sanders,SDE,0.1569
Adair,1NW ADAIR,Steyer,first,0.0
Adair,1NW ADAIR,Steyer,final,0.0
Adair,1NW ADAIR,Steyer,SDE,0.0
Adair,1NW ADAIR,Warren,first,9.0
Adair,1NW ADAIR,Warren,final,9.0
Adair,1NW ADAIR,Warren,SDE,0.1569
Adair,1NW ADAIR,Yang,first,0.0
Adair,1NW ADAIR,Yang,final,0.0
Adair,1NW ADAIR,Yang,SDE,0.0
Adair,1NW ADAIR,Other,first,0.0
Adair,1NW ADAIR,Other,final,0.0
Adair,1NW ADAIR,Other,SDE,0.0
Adair,1NW ADAIR,Uncommitted,first,0.0
Adair,1NW ADAIR,Uncommitted,final,0.0
Adair,1NW ADAIR,Uncommitted,SDE,0.0
Adair,2NE STUART,Bennet,first,0.0
Adair,2NE STUART,Bennet,final,0.0
Adair,2NE STUART,Bennet,SDE,0.0
Adair,2NE STUART,Biden,first,6.0
Adair,2NE STUART,Biden,final,0.0
Adair,2NE STUART,Biden,SDE,0.0
Adair,2NE STUART,Bloomberg,first,0.0
Adair,2NE STUART,Bloomberg,final,0.0
Adair,2NE STUART,Bloomberg,SDE,0.0
Adair,2NE STUART,Buttigieg,first,10.0
Adair,2NE STUART,Buttigieg,final,15.0
Adair,2NE STUART,Buttigieg,SDE,0.3137
Adair,2NE STUART,Delaney,first,0.0
Adair,2NE STUART,Delaney,final,0.0
Adair,2NE STUART,Delaney,SDE,0.0
Adair,2NE STUART,Gabbard,first,0.0
Adair,2NE STUART,Gabbard,final,0.0
Adair,2NE STUART,Gabbard,SDE,0.0
Adair,2NE STUART,Klobuchar,first,9.0
Adair,2NE STUART,Klobuchar,final,10.0
Adair,2NE STUART,Klobuchar,SDE,0.1569
Adair,2NE STUART,Patrick,first,0.0
Adair,2NE STUART,Patrick,final,0.0
Adair,2NE STUART,Patrick,SDE,0.0
Adair,2NE STUART,Sanders,first,10.0
Adair,2NE STUART,Sanders,final,10.0
Adair,2NE STUART,Sanders,SDE,0.2353
Adair,2NE STUART,Steyer,first,7.0
Adair,2NE STUART,Steyer,final,7.0
Adair,2NE STUART,Steyer,SDE,0.1569
Adair,2NE STUART,Warren,first,0.0
Adair,2NE STUART,Warren,final,0.0
Adair,2NE STUART,Warren,SDE,0.0
Adair,2NE STUART,Yang,first,1.0
Adair,2NE STUART,Yang,final,1.0
Adair,2NE STUART,Yang,SDE,0.0
Adair,2NE STUART,Other,first,0.0
Adair,2NE STUART,Other,final,0.0
Adair,2NE STUART,Other,SDE,0.0
Adair,2NE STUART,Uncommitted,first,0.0
Adair,2NE STUART,Uncommitted,final,0.0
Adair,2NE STUART,Uncommitted,SDE,0.0
Adair,5GF GREENFIELD,Bennet,first,0.0
Adair,5GF GREENFIELD,Bennet,final,0.0
Adair,5GF GREENFIELD,Bennet,SDE,0.0
Adair,5GF GREENFIELD,Biden,first,8.0
Adair,5GF GREENFIELD,Biden,final,0.0
Adair,5GF GREENFIELD,Biden,SDE,0.0
Adair,5GF GREENFIELD,Bloomberg,first,0.0
Adair,5GF GREENFIELD,Bloomberg,final,0.0
Adair,5GF GREENFIELD,Bloomberg,SDE,0.0
Adair,5GF GREENFIELD,Buttigieg,first,10.0
Adair,5GF GREENFIELD,Buttigieg,final,12.0
Adair,5GF GREENFIELD,Buttigieg,SDE,0.1569
Adair,5GF GREENFIELD,Delaney,first,0.0
Adair,5GF GREENFIELD,Delaney,final,0.0
Adair,5GF GREENFIELD,Delaney,SDE,0.0
Adair,5GF GREENFIELD,Gabbard,first,0.0
Adair,5GF GREENFIELD,Gabbard,final,0.0
