precinct,locality_fips,geo_id,County,locality_type,is_complete,precinct_id,results_align1.delaneyj,results_align1.bennetm,results_align1.bidenj,results_align1.bloombergm,results_align1.buttigiegp,results_align1.gabbardt,results_align1.klobuchara,results_align1.other,results_align1.patrickd,results_align1.sandersb,results_align1.steyert,results_align1.uncommitted,results_align1.warrene,results_align1.yanga,results_alignfinal.delaneyj,results_alignfinal.bennetm,results_alignfinal.bidenj,results_alignfinal.bloombergm,results_alignfinal.buttigiegp,results_alignfinal.gabbardt,results_alignfinal.klobuchara,results_alignfinal.other,results_alignfinal.patrickd,results_alignfinal.sandersb,results_alignfinal.steyert,results_alignfinal.uncommitted,results_alignfinal.warrene,results_alignfinal.yanga,results.delaneyj,results.bennetm,results.bidenj,results.bloombergm,results.buttigiegp,results.gabbardt,results.klobuchara,results.other,results.patrickd,results.sandersb,results.steyert,results.uncommitted,results.warrene,results.yanga,votes,votes_align1,votes_alignfinal
FM5,19111,19111-947310,Lee,county,TRUE,947310,0,0,24,0,30,0,0,0,0,21,2,0,4,10,0,0,25,0,35,0,0,0,0,31,0,0,0,0,0,0,0.42,0,0.7,0,0,0,0,0.56,0,0,0,0,1.68,91,91
KE2A,19111,19111-947312,Lee,county,TRUE,947312,0,0,2,0,2,0,0,0,0,13,2,0,2,1,0,0,0,0,4,0,0,0,0,13,0,0,5,0,0,0,0,0,0.14,0,0,0,0,0.42,0,0,0.14,0,0.7,22,22
8,19161,19161-947848,Sac,county,TRUE,947848,0,0,4,0,4,1,0,0,0,4,1,0,2,0,0,0,4,0,5,0,0,0,0,7,0,0,0,0,0,0,0.0667,0,0.0667,0,0,0,0,0.0667,0,0,0,0,0.2001,16,16
2,19161,19161-947842,Sac,county,TRUE,947842,0,0,0,0,1,0,1,0,0,2,0,0,1,0,0,0,0,0,2,0,0,0,0,3,0,0,0,0,0,0,0,0,0.0667,0,0,0,0,0.0667,0,0,0,0,0.1334,5,5
5,19161,19161-947845,Sac,county,TRUE,947845,0,0,2,0,2,0,2,0,0,2,0,0,1,2,0,0,0,0,5,0,0,0,0,3,0,0,0,3,0,0,0,0,0.0667,0,0,0,0,0.0667,0,0,0,0.0667,0.2001,11,11
3,19161,19161-947843,Sac,county,TRUE,947843,0,0,1,0,6,0,3,0,0,2,0,0,2,0,0,0,0,0,6,0,3,0,0,2,0,0,2,0,0,0,0,0,0.1333,0,0.0667,0,0,0.0667,0,0,0.0667,0,0.3334,14,13
7,19161,19161-947847,Sac,county,TRUE,947847,0,0,6,0,14,0,11,0,0,9,0,0,8,0,0,0,0,0,14,0,15,0,0,10,0,1,8,0,0,0,0,0,0.2,0,0.2667,0,0,0.1333,0,0,0.1333,0,0.7333,48,48
SP5,19041,19041-946816,Clay,county,TRUE,946816,0,0,18,0,14,0,18,0,0,15,0,0,6,0,0,0,19,0,16,0,21,0,0,15,0,0,0,0,0,0,0.2824,0,0.2824,0,0.3765,0,0,0.2824,0,0,0,0,1.2237,71,71
DGPE,19041,19041-946805,Clay,county,TRUE,946805,0,0,4,0,6,0,0,0,0,5,0,0,4,0,0,0,4,0,6,0,0,0,0,5,0,0,4,0,0,0,0.0941,0,0.0941,0,0,0,0,0.0941,0,0,0,0,0.2823,19,19
SP3,19041,19041-946814,Clay,county,TRUE,946814,0,0,19,0,17,0,14,0,0,24,0,0,6,1,0,0,19,0,17,0,20,0,0,25,0,0,0,0,0,0,0.2824,0,0.1882,0,0.2824,0,0,0.3765,0,0,0,0,1.1295,81,81
