viable_to_zero_votes,zero_votes_to_nonzero_votes,viable_to_unviable,unviable_to_viable,precinct,is_complete,candidate,votes_first,total_first,percent_first,candidate_not_viable_first,votes_final,total_final,percent_final,candidate_viable_final,change_from_first,mickey_mouse_shit,precincts_with_mms
FALSE,FALSE,FALSE,FALSE,09A-1593531,TRUE,delaneyj,0,228,0,1,0,228,0,FALSE,0,FALSE,1
FALSE,FALSE,FALSE,FALSE,09A-1593531,TRUE,bennetm,0,228,0,1,0,228,0,FALSE,0,FALSE,1
FALSE,FALSE,FALSE,TRUE,09A-1593531,TRUE,bidenj,28,228,0.12280701754385964,1,35,228,0.15350877192982457,TRUE,7,FALSE,1
FALSE,FALSE,FALSE,FALSE,09A-1593531,TRUE,bloombergm,0,228,0,1,0,228,0,FALSE,0,FALSE,1
FALSE,FALSE,FALSE,FALSE,09A-1593531,TRUE,buttigiegp,39,228,0.17105263157894737,0,49,228,0.2149122807017544,TRUE,10,FALSE,1
FALSE,FALSE,FALSE,FALSE,09A-1593531,TRUE,gabbardt,0,228,0,1,0,228,0,FALSE,0,FALSE,1
FALSE,FALSE,FALSE,FALSE,09A-1593531,TRUE,klobuchara,17,228,0.07456140350877193,1,0,228,0,FALSE,-17,FALSE,1
FALSE,FALSE,FALSE,FALSE,09A-1593531,TRUE,other,0,228,0,1,0,228,0,FALSE,0,FALSE,1
FALSE,FALSE,FALSE,FALSE,09A-1593531,TRUE,patrickd,0,228,0,1,0,228,0,FALSE,0,FALSE,1
FALSE,FALSE,FALSE,FALSE,09A-1593531,TRUE,sandersb,78,228,0.34210526315789475,0,92,228,0.40350877192982454,TRUE,14,FALSE,1
FALSE,FALSE,FALSE,FALSE,09A-1593531,TRUE,steyert,0,228,0,1,0,228,0,FALSE,0,FALSE,1
FALSE,TRUE,FALSE,FALSE,09A-1593531,TRUE,uncommitted,0,228,0,1,5,228,0.021929824561403508,FALSE,5,TRUE,1
FALSE,FALSE,FALSE,FALSE,09A-1593531,TRUE,warrene,40,228,0.17543859649122806,0,47,228,0.20614035087719298,TRUE,7,FALSE,1
FALSE,FALSE,FALSE,FALSE,09A-1593531,TRUE,yanga,26,228,0.11403508771929824,1,0,228,0,FALSE,-26,FALSE,1
FALSE,FALSE,FALSE,FALSE,1-947050,TRUE,delaneyj,0,24,0,1,0,24,0,FALSE,0,FALSE,1
FALSE,FALSE,FALSE,FALSE,1-947050,TRUE,bennetm,0,24,0,1,0,24,0,FALSE,0,FALSE,1
FALSE,FALSE,FALSE,FALSE,1-947050,TRUE,bidenj,2,24,0.08333333333333333,1,0,24,0,FALSE,-2,FALSE,1
FALSE,FALSE,FALSE,FALSE,1-947050,TRUE,bloombergm,0,24,0,1,0,24,0,FALSE,0,FALSE,1
FALSE,FALSE,FALSE,FALSE,1-947050,TRUE,buttigiegp,8,24,0.3333333333333333,0,9,24,0.375,TRUE,1,FALSE,1
FALSE,FALSE,FALSE,FALSE,1-947050,TRUE,gabbardt,0,24,0,1,0,24,0,FALSE,0,FALSE,1
FALSE,FALSE,FALSE,FALSE,1-947050,TRUE,klobuchara,0,24,0,1,0,24,0,FALSE,0,FALSE,1
FALSE,FALSE,FALSE,FALSE,1-947050,TRUE,other,0,24,0,1,0,24,0,FALSE,0,FALSE,1
FALSE,FALSE,FALSE,FALSE,1-947050,TRUE,patrickd,0,24,0,1,0,24,0,FALSE,0,FALSE,1
FALSE,FALSE,FALSE,FALSE,1-947050,TRUE,sandersb,5,24,0.20833333333333334,0,5,24,0.20833333333333334,TRUE,0,FALSE,1
FALSE,FALSE,FALSE,FALSE,1-947050,TRUE,steyert,0,24,0,1,0,24,0,FALSE,0,FALSE,1
FALSE,TRUE,FALSE,FALSE,1-947050,TRUE,uncommitted,0,24,0,1,1,24,0.041666666666666664,FALSE,1,TRUE,1
FALSE,FALSE,FALSE,FALSE,1-947050,TRUE,warrene,9,24,0.375,0,9,24,0.375,TRUE,0,FALSE,1
FALSE,FALSE,FALSE,FALSE,1-947050,TRUE,yanga,0,24,0,1,0,24,0,FALSE,0,FALSE,1
FALSE,FALSE,FALSE,FALSE,1-947941,TRUE,delaneyj,0,285,0,1,0,282,0,FALSE,0,FALSE,1
FALSE,FALSE,FALSE,FALSE,1-947941,TRUE,bennetm,0,285,0,1,0,282,0,FALSE,0,FALSE,1
FALSE,FALSE,FALSE,FALSE,1-947941,TRUE,bidenj,2,285,0.007017543859649123,1,0,282,0,FALSE,-2,FALSE,1
FALSE,FALSE,FALSE,FALSE,1-947941,TRUE,bloombergm,0,285,0,1,0,282,0,FALSE,0,FALSE,1
FALSE,FALSE,FALSE,FALSE,1-947941,TRUE,buttigiegp,47,285,0.1649122807017544,0,73,282,0.25886524822695034,TRUE,26,FALSE,1
FALSE,FALSE,FALSE,FALSE,1-947941,TRUE,gabbardt,0,285,0,1,0,282,0,FALSE,0,FALSE,1
FALSE,FALSE,FALSE,FALSE,1-947941,TRUE,klobuchara,36,285,0.12631578947368421,1,0,282,0,FALSE,-36,FALSE,1
FALSE,FALSE,FALSE,FALSE,1-947941,TRUE,other,0,285,0,1,0,282,0,FALSE,0,FALSE,1
FALSE,FALSE,FALSE,FALSE,1-947941,TRUE,patrickd,0,285,0,1,0,282,0,FALSE,0,FALSE,1
FALSE,FALSE,FALSE,FALSE,1-947941,TRUE,sandersb,111,285,0.3894736842105263,0,116,282,0.41134751773049644,TRUE,5,FALSE,1
FALSE,FALSE,FALSE,FALSE,1-947941,TRUE,steyert,4,285,0.014035087719298246,1,0,282,0,FALSE,-4,FALSE,1
FALSE,TRUE,FALSE,FALSE,1-947941,TRUE,uncommitted,0,285,0,1,11,282,0.03900709219858156,FALSE,11,TRUE,1
FALSE,FALSE,FALSE,FALSE,1-947941,TRUE,warrene,68,285,0.23859649122807017,0,82,282,0.2907801418439716,TRUE,14,FALSE,1
FALSE,FALSE,FALSE,FALSE,1-947941,TRUE,yanga,17,285,0.05964912280701754,1,0,282,0,FALSE,-17,FALSE,1
FALSE,FALSE,FALSE,FALSE,1 BA-LS-1593688,TRUE,delaneyj,0,28,0,1,0,28,0,FALSE,0,FALSE,1
FALSE,FALSE,FALSE,FALSE,1 BA-LS-1593688,TRUE,bennetm,0,28,0,1,0,28,0,FALSE,0,FALSE,1
FALSE,FALSE,FALSE,FALSE,1 BA-LS-1593688,TRUE,bidenj,8,28,0.2857142857142857,0,9,28,0.32142857142857145,TRUE,1,FALSE,1
FALSE,FALSE,FALSE,FALSE,1 BA-LS-1593688,TRUE,bloombergm,0,28,0,1,0,28,0,FALSE,0,FALSE,1
FALSE,FALSE,FALSE,FALSE,1 BA-LS-1593688,TRUE,buttigiegp,5,28,0.17857142857142858,0,12,28,0.42857142857142855,TRUE,7,FALSE,1
