candidate,,Bennet,Bennet,Bennet,Biden,Biden,Biden,Bloomberg,Bloomberg,Bloomberg,Buttigieg,Buttigieg,Buttigieg,Delaney,Delaney,Delaney,Gabbard,Gabbard,Gabbard,Klobuchar,Klobuchar,Klobuchar,Patrick,Patrick,Patrick,Sanders,Sanders,Sanders,Steyer,Steyer,Steyer,Warren,Warren,Warren,Yang,Yang,Yang,Other,Other,Other,Uncommitted,Uncommitted,Uncommitted
subhead,,First Expression,Final Expression,SDE,First Expression,Final Expression,SDE,First Expression,Final Expression,SDE,First Expression,Final Expression,SDE,First Expression,Final Expression,SDE,First Expression,Final Expression,SDE,First Expression,Final Expression,SDE,First Expression,Final Expression,SDE,First Expression,Final Expression,SDE,First Expression,Final Expression,SDE,First Expression,Final Expression,SDE,First Expression,Final Expression,SDE,First Expression,Final Expression,SDE,First Expression,Final Expression,SDE
county,precinct,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Adair,4SE ORIENT,0.0,0.0,0.0,7.0,7.0,0.1569,0.0,0.0,0.0,6.0,6.0,0.1569,0.0,0.0,0.0,0.0,0.0,0.0,6.0,6.0,0.1569,0.0,0.0,0.0,6.0,6.0,0.0784,0.0,0.0,0.0,9.0,9.0,0.2353,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Adair,1NW ADAIR,0.0,0.0,0.0,6.0,6.0,0.0784,0.0,0.0,0.0,8.0,8.0,0.0784,0.0,0.0,0.0,0.0,0.0,0.0,8.0,8.0,0.1569,0.0,0.0,0.0,9.0,9.0,0.1569,0.0,0.0,0.0,9.0,9.0,0.1569,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Adair,2NE STUART,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,10.0,15.0,0.3137,0.0,0.0,0.0,0.0,0.0,0.0,9.0,10.0,0.1569,0.0,0.0,0.0,10.0,10.0,0.2353,7.0,7.0,0.1569,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Adair,5GF GREENFIELD,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,10.0,12.0,0.1569,0.0,0.0,0.0,0.0,0.0,0.0,26.0,32.0,0.3922,0.0,0.0,0.0,16.0,21.0,0.3137,0.0,0.0,0.0,6.0,0.0,0.0,12.0,13.0,0.1569,0.0,0.0,0.0,0.0,0.0,0.0
Adair,Total,0.0,0.0,0.0,27.0,13.0,0.2353,0.0,0.0,0.0,34.0,41.0,0.7059,0.0,0.0,0.0,0.0,0.0,0.0,49.0,56.0,0.8629,0.0,0.0,0.0,41.0,46.0,0.7843,7.0,7.0,0.1569,24.0,18.0,0.3922,13.0,14.0,0.1569,0.0,0.0,0.0,0.0,0.0,0.0
Adams,Adams 1,0.0,0.0,0.0,5.0,5.0,0.0857,0.0,0.0,0.0,7.0,7.0,0.1714,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,0.1714,0.0,0.0,0.0,7.0,7.0,0.1714,0.0,0.0,0.0,5.0,5.0,0.0857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Adams,Adams 5,0.0,0.0,0.0,4.0,4.0,0.0857,0.0,0.0,0.0,5.0,5.0,0.1714,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0857,0.0,0.0,0.0,3.0,3.0,0.0857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Adams,Adams 3,0.0,0.0,0.0,11.0,12.0,0.3429,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,7.0,0.1714,0.0,0.0,0.0,5.0,5.0,0.1714,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Adams,Adams 4,0.0,0.0,0.0,6.0,6.0,0.1714,0.0,0.0,0.0,3.0,3.0,0.0857,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,0.1714,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,3.0,5.0,0.1714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Adams,Adams 2,0.0,0.0,0.0,4.0,4.0,0.0857,0.0,0.0,0.0,3.0,3.0,0.0857,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,0.1714,0.0,0.0,0.0,4.0,4.0,0.0857,0.0,0.0,0.0,5.0,5.0,0.1714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Adams,Total,0.0,0.0,0.0,30.0,31.0,0.7714,0.0,0.0,0.0,18.0,18.0,0.5142,0.0,0.0,0.0,0.0,0.0,0.0,23.0,24.0,0.7713,0.0,0.0,0.0,21.0,19.0,0.5142,0.0,0.0,0.0,16.0,15.0,0.4285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Allamakee,Pct 05 - LT/PC/WV City,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,5.0,7.0,0.0778,0.0,0.0,0.0,1.0,0.0,0.0,6.0,6.0,0.0778,0.0,0.0,0.0,5.0,5.0,0.0778,0.0,0.0,0.0,4.0,5.0,0.0778,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Allamakee,Pct 08 - IA/UC/NA City,0.0,0.0,0.0,6.0,6.0,0.0778,0.0,0.0,0.0,7.0,7.0,0.0778,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,6.0,0.0778,9.0,9.0,0.0778,9.0,9.0,0.0778,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Allamakee,Pct 01 - WL/HV,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,0.0778,0.0,0.0,0.0,0.0,0.0,0.0,6.0,7.0,0.1556,0.0,0.0,0.0,5.0,5.0,0.0778,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Allamakee,Pct 09 - Waukon 1,0.0,0.0,0.0,13.0,13.0,0.1556,0.0,0.0,0.0,21.0,27.0,0.3889,0.0,0.0,0.0,0.0,0.0,0.0,9.0,10.0,0.1556,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0
Allamakee,Pct 04 - PV City,0.0,0.0,0.0,7.0,7.0,0.1556,0.0,0.0,0.0,15.0,15.0,0.2333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,6.0,0.0778,0.0,0.0,0.0,0.0,0.0,0.0,10.0,10.0,0.1556,0.0,0.0,0.0,0.0,0.0,0.0
Allamakee,Pct 07 - CN/LF/LS/LS City,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,47.0,52.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0,16.0,30.0,0.3889,0.0,0.0,0.0,16.0,21.0,0.3111,6.0,0.0,0.0,5.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0
Allamakee,Pct 11 - Waukon 3,1.0,0.0,0.0,8.0,12.0,0.2333,0.0,0.0,0.0,9.0,12.0,0.2333,0.0,0.0,0.0,0.0,0.0,0.0,9.0,9.0,0.1556,0.0,0.0,0.0,6.0,7.0,0.0778,2.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Allamakee,Pct 02 - FC/JF/LL/MK/UP,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,11.0,14.0,0.2333,0.0,0.0,0.0,0.0,0.0,0.0,13.0,18.0,0.2333,0.0,0.0,0.0,13.0,13.0,0.2333,8.0,0.0,0.0,11.0,11.0,0.1556,9.0,13.0,0.2333,0.0,2.0,0.0,0.0,0.0,0.0
Allamakee,Total,1.0,0.0,0.0,51.0,38.0,0.6223,0.0,0.0,0.0,119.0,138.0,2.0222,0.0,0.0,0.0,1.0,0.0,0.0,59.0,80.0,1.1668,0.0,0.0,0.0,57.0,63.0,0.9334,25.0,9.0,0.0778,36.0,25.0,0.3112,31.0,23.0,0.3889,0.0,2.0,0.0,4.0,4.0,0.0
Appanoose,Johns/Independence,0.0,0.0,0.0,10.0,11.0,0.16,0.0,0.0,0.0,3.0,7.0,0.08,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,6.0,7.0,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Appanoose,Pleasant/Franklin,0.0,0.0,0.0,8.0,8.0,0.16,0.0,0.0,0.0,10.0,10.0,0.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,5.0,0.08,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Appanoose,Caldwell Township,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,7.0,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,3.0,4.0,0.08,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
Appanoose,Walnut,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,8.0,0.16,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,0.08,0.0,0.0,0.0,2.0,0.0,0.0,2.0,3.0,0.08,0.0,0.0,0.0,3.0,4.0,0.08,0.0,0.0,0.0,0.0,0.0,0.0
Appanoose,Bellair/Lincoln,0.0,0.0,0.0,6.0,6.0,0.16,0.0,0.0,0.0,3.0,3.0,0.08,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.08,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
